reference_id,recieved_at,university,caller_name,outcome_1,remark,campaign_id
363200,2023-01-05 15:40:00,Illinois Institute of Technology,Shailja,Will Submit the docx,,IANF23
352499,2023-01-05 15:40:00,Illinois Institute of Technology,Isha,Not connected,,IANF23
348112,2023-01-05 15:41:00,Illinois Institute of Technology,Shailja,Not connected,,IANF23
365103,2023-01-05 15:43:00,Illinois Institute of Technology,Shailja,Completed application,,IANF23
371387,2023-01-05 15:44:00,Illinois Institute of Technology,Isha,Will Submit the docx,by this week,IANF23
346433,2023-01-05 15:44:00,Illinois Institute of Technology,Shailja,Not connected,,IANF23
355188,2023-01-05 15:45:00,Illinois Institute of Technology,Shailja,Not connected,,IANF23
357600,2023-01-05 15:45:00,Illinois Institute of Technology,Isha,Not connected,,IANF23
351391,2023-01-05 15:48:00,Illinois Institute of Technology,Shailja,Not connected,,IANF23
351253,2023-01-05 15:50:00,Illinois Institute of Technology,Shailja,Not connected,,IANF23
330144,2023-01-05 15:52:00,Illinois Institute of Technology,Isha,Not interested,got admitted in another university,IANF23
347389,2023-01-05 15:53:00,Illinois Institute of Technology,Shailja,Will Submit the docx,,IANF23
360675,2023-01-05 15:55:00,Illinois Institute of Technology,Isha,Disconnected,,IANF23
346494,2023-01-05 15:55:00,Illinois Institute of Technology,Shailja,Not interested,another uni,IANF23
357168,2023-01-05 15:56:00,Illinois Institute of Technology,Shailja,Not connected,,IANF23
368361,2023-01-05 15:57:00,Illinois Institute of Technology,Isha,Will Submit the docx,within 2-3 weeks,IANF23
357841,2023-01-05 15:58:00,Illinois Institute of Technology,Shailja,Not connected,,IANF23
347391,2023-01-05 15:59:00,Illinois Institute of Technology,Shailja,Not connected,,IANF23
351330,2023-01-05 16:00:00,Illinois Institute of Technology,Shailja,Not connected,,IANF23
347926,2023-01-05 16:02:00,Illinois Institute of Technology,Shailja,Completed application,,IANF23
329747,2023-01-05 16:04:00,Illinois Institute of Technology,Shailja,Not connected,,IANF23
366868,2023-01-05 16:05:00,Illinois Institute of Technology,Shailja,Not connected,,IANF23
370951,2023-01-05 16:06:00,Illinois Institute of Technology,Shailja,Not connected,,IANF23
365738,2023-01-05 16:08:00,Illinois Institute of Technology,Shailja,Will Submit the docx,,IANF23
364050,2023-01-05 16:12:00,Illinois Institute of Technology,Shailja,Will Submit the docx,,IANF23
367550,2023-01-05 16:13:00,Illinois Institute of Technology,Shailja,Not connected,,IANF23
370950,2023-01-05 16:14:00,Illinois Institute of Technology,Shailja,Not connected,,IANF23
355451,2023-01-05 16:16:00,Illinois Institute of Technology,Shailja,Not connected,,IANF23
355235,2023-01-05 16:17:00,Illinois Institute of Technology,Shailja,Not connected,,IANF23
355346,2023-01-05 16:18:00,Illinois Institute of Technology,Shailja,Not connected,,IANF23
365503,2023-01-05 16:20:00,Illinois Institute of Technology,Shailja,Will Submit the docx,,IANF23
361874,2023-01-05 16:21:00,Illinois Institute of Technology,Shailja,Not connected,,IANF23
359177,2023-01-05 16:22:00,Illinois Institute of Technology,Shailja,Not connected,,IANF23
371388,2023-01-05 16:26:00,Illinois Institute of Technology,Shailja,Will Submit the docx,,IANF23
356976,2023-01-05 16:28:00,Illinois Institute of Technology,Shailja,Not connected,,IANF23
343043,2023-01-05 16:30:00,Illinois Institute of Technology,Shailja,Disconnected,,IANF23
362412,2023-01-05 16:31:00,Illinois Institute of Technology,Shailja,Not connected,,IANF23
363160,2023-01-05 17:12:00,Illinois Institute of Technology,Shailja,Not connected,,IANF23
365082,2023-01-05 17:14:00,Illinois Institute of Technology,Shailja,Not connected,,IANF23
371760,2023-01-05 17:15:00,Illinois Institute of Technology,Shailja,Not connected,,IANF23
353261,2023-01-05 17:17:00,Illinois Institute of Technology,Isha,Will Submit the docx,by today,IANF23
314118,2023-01-05 17:18:00,Illinois Institute of Technology,Shailja,Voicemail,,IANF23
